dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,GT,GNNM,0,5,0.9027360677719116,0.9015178084373474,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,1,5,0.9064430594444275,0.9050476551055908,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,2,5,0.9004412889480591,0.9011648297309875,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,3,5,0.9043247699737549,0.9009883403778076,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,4,5,0.9094439148902893,0.9048711061477661,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,5,5,0.9016769528388977,0.9057536125183105,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,6,5,0.8970873355865479,0.8997529149055481,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,7,4,0.8962047696113586,0.8958700895309448,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,8,5,0.9062665104866028,0.9043416380882263,acc,results2/roman_empire/tabm.csv
roman-empire,GT,GNNM,9,5,0.9066195487976074,0.9059301018714905,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,0,5,0.9009708762168884,0.8983409404754639,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,1,5,0.9030891060829163,0.8981644511222839,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,2,5,0.8962047696113586,0.9016942977905273,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,3,5,0.9004412889480591,0.8948111534118652,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,4,5,0.9000882506370544,0.9004588723182678,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,5,5,0.8969108462333679,0.8983409404754639,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,6,4,0.8891438245773315,0.8868690133094788,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,7,5,0.89496910572052,0.8983409404754639,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,8,5,0.9020299911499023,0.9039886593818665,acc,results2/roman_empire/tabm.csv
roman-empire,GT-sep,GNNM,9,5,0.8992056250572205,0.9002823829650879,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,0,3,0.6589584946632385,0.658136248588562,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,1,1,0.6610767841339111,0.6604306101799011,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,2,1,0.6589584946632385,0.6593716740608215,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,3,2,0.6577228307723999,0.6673137545585632,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,4,5,0.6568402051925659,0.6544299125671387,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,5,5,0.6644306778907776,0.6674902439117432,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,6,1,0.6609002351760864,0.6544299125671387,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,7,1,0.6582524180412292,0.662725031375885,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,8,5,0.6593115329742432,0.6613130569458008,acc,results2/roman_empire/tabm.csv
roman-empire,ResNet,GNNM,9,3,0.6637246012687683,0.6556653380393982,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,0,5,0.9018534421920776,0.893399178981781,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,1,5,0.8947925567626953,0.9009883403778076,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,2,5,0.8947925567626953,0.897987961769104,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,3,5,0.9036186933517456,0.895340621471405,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,4,5,0.9045013189315796,0.8972820043563843,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,5,5,0.8923212289810181,0.9016942977905273,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,6,5,0.8926742672920227,0.8939286470413208,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,7,5,0.8939099311828613,0.8937521576881409,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,8,4,0.893203854560852,0.8962230682373047,acc,results2/roman_empire/tabm.csv
roman-empire,TAG,GNNM,9,5,0.8992056250572205,0.8974584937095642,acc,results2/roman_empire/tabm.csv
amazon-ratings,GCN,BASE,0,2,0.5053078532218933,0.4999183416366577,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,1,2,0.5089008808135986,0.509880781173706,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,2,2,0.5142903923988342,0.5066143870353699,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,3,2,0.5146170258522034,0.5049812197685242,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,4,2,0.5169034600257874,0.49812182784080505,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,5,2,0.5180466771125793,0.5075942873954773,acc,results2/amazon_ratings/base.csv
amazon-ratings,GCN,BASE,6,2,0.5105340480804443,0.5038380026817322,acc,results2/amazon_ratings/base.csv
